"question","answer"
"What is the longest river in India?","The Ganges River"
"Which is the largest state in India by area?","Rajasthan"
"Which is the smallest state in India by area?","Goa"
"What is the capital city of India?","New Delhi"
"Which Indian state has the longest coastline?","Gujarat"
"What is the highest mountain peak in India?","Kangchenjunga"
"Which desert is located in India?","Thar Desert"
"Which river is considered the holiest in India?","The Ganges River"
"What is the largest lake in India?","Vembanad Lake"
"Which Indian state is known as the 'Land of Five Rivers'?","Punjab"
"Which state is the leading producer of tea in India?","Assam"
"Which Indian state has the highest population?","Uttar Pradesh"
"Which is the only floating national park in the world located in India?","Keibul Lamjao National Park"
"Which river forms the boundary between Assam and Arunachal Pradesh?","Brahmaputra River"
"Which is the largest delta in the world located in India?","Sundarbans Delta"
"Which state in India is known as the 'Spice Garden of India'?","Kerala"
"Which city is known as the 'Silicon Valley of India'?","Bangalore"
"What is the southernmost point of India?","Indira Point"
"Which Indian state is famous for its backwaters?","Kerala"
"What is the longest dam in India?","Hirakud Dam"
"Which Indian state is famous for the Great Rann of Kutch?","Gujarat"
"Which river is known as the 'Sorrow of Bihar'?","Kosi River"
"Which is the largest river island in India?","Majuli"
"Which Indian state has the highest literacy rate?","Kerala"
"Which river flows through the city of Varanasi?","The Ganges River"
"Which Indian state is known for the Kumbh Mela festival?","Uttar Pradesh"
"Which mountain range is known as the 'Abode of Snow'?","Himalayas"
"Which river is known as the 'Dakshina Ganga' or 'Ganges of the South'?","Godavari River"
"Which state in India is known for the Bhimbetka rock shelters?","Madhya Pradesh"
"What is the capital city of the Indian state of Rajasthan?","Jaipur"
"Which Indian state has the most number of national parks?","Madhya Pradesh"
"Which is the highest waterfall in India?","Kunchikal Falls"
"Which river flows through the state of Goa?","Mandovi River"
"What is the capital city of the Indian state of Maharashtra?","Mumbai"
"Which Indian state is known for the Sunderbans mangrove forest?","West Bengal"
"Which river is the primary water source for the city of Chennai?","Cooum River"
"Which Indian state is known as the 'Land of the Rising Sun'?","Arunachal Pradesh"
"Which Indian city is known as the 'City of Lakes'?","Udaipur"
"What is the capital city of the Indian state of Tamil Nadu?","Chennai"
"Which Indian state has the largest forest area?","Madhya Pradesh"
"Which river forms the natural boundary between India and Pakistan?","Indus River"
"Which mountain pass connects Leh in Ladakh to Manali in Himachal Pradesh?","Rohtang Pass"
"Which river flows through the city of Kolkata?","Hooghly River"
"Which Indian state is known for the Chilika Lake?","Odisha"
"What is the capital city of the Indian state of West Bengal?","Kolkata"
"Which Indian state is known for the Valley of Flowers National Park?","Uttarakhand"
"Which Indian state has the highest number of beaches?","Goa"
"Which river is known as the 'Lifeline of Gujarat'?","Narmada River"
"What is the capital city of the Indian state of Punjab?","Chandigarh"