Question,Answer
"Who was the first President of the United States?","George Washington"
"What year did the Titanic sink?","1912"
"Who discovered America in 1492?","Christopher Columbus"
"What ancient civilization built the pyramids?","Egyptians"
"Who was the first man to walk on the moon?","Neil Armstrong"
"What was the name of the ship that brought the Pilgrims to America in 1620?","Mayflower"
"Who was the famous nurse during the Crimean War?","Florence Nightingale"
"In what year did World War I begin?","1914"
"Who was the Queen of England during the Spanish Armada?","Elizabeth I"
"What was the main language of the Roman Empire?","Latin"
"Who was the first Emperor of China?","Qin Shi Huang"
"What year did the Berlin Wall fall?","1989"
"Who was the British Prime Minister during World War II?","Winston Churchill"
"What was the name of the first successful English colony in America?","Jamestown"
"Who was the leader of the Soviet Union during World War II?","Joseph Stalin"
"What famous battle occurred in 1066?","Battle of Hastings"
"Who was the longest reigning British monarch before Queen Elizabeth II?","Queen Victoria"
"What was the name of the trade route between China and the Mediterranean?","Silk Road"
"Who painted the Mona Lisa?","Leonardo da Vinci"
"What year did the American Civil War end?","1865"
"Who was the first female Prime Minister of the United Kingdom?","Margaret Thatcher"
"In which city was the Declaration of Independence signed?","Philadelphia"
"Who was the first Tsar of Russia?","Ivan the Terrible"
"What year did the French Revolution begin?","1789"
"Who was the Egyptian queen married to Julius Caesar and Mark Antony?","Cleopatra"
"What was the main religion of the Ottoman Empire?","Islam"
"Who invented the printing press?","Johannes Gutenberg"
"What year did the Great Fire of London occur?","1666"
"Who was the first President of South Africa after apartheid?","Nelson Mandela"
"What empire did Genghis Khan found?","Mongol Empire"
"What was the name of the treaty that ended World War I?","Treaty of Versailles"
"Who was the King of England during the American Revolution?","King George III"
"What year did India gain independence from Britain?","1947"
"Who was the first emperor of the Roman Empire?","Augustus"
"In what year did the Spanish Civil War begin?","1936"
"Who led the Haitian Revolution?","Toussaint Louverture"
"What ancient city was destroyed by a volcanic eruption in 79 AD?","Pompeii"
"Who was the founder of the Mongol Empire?","Genghis Khan"
"What was the main language of the Byzantine Empire?","Greek"
"What year did the Battle of Waterloo take place?","1815"
"Who was the architect of the Parthenon in Athens?","Phidias"
"What was the first country to grant women the right to vote?","New Zealand"
"In what year did the Korean War begin?","1950"
"Who was the leader of the Indian independence movement?","Mahatma Gandhi"
"What was the capital of the Aztec Empire?","Tenochtitlan"
"What year did the Russian Revolution occur?","1917"
"Who was the famous general from Carthage who crossed the Alps with elephants?","Hannibal"
"Who was the first female pharaoh of Egypt?","Hatshepsut"